round,title,src,description,description_wc,thumbnail,redirect,Year
0,Life After Lifestyle,Toby Shorin,"Toby Shorin's compelling essay, ""Life After Lifestyle,"" offers a profound reflection on the evolution of marketing and culture over the past decade. With six years of meticulous research and observation, Shorin provides a penetrating analysis of the shift from the era of ""Lifestyle"" to a new paradigm where brands actively manufacture and shape culture. Shorin argues that the previous era was characterized by brands attaching themselves to existing cultural contexts, whereas the emerging trend sees culture itself becoming the product, with brands playing a secondary role. This transformation has led to the proliferation of novel subcultures and raises questions about the future trajectory of consumerism and societal values.

Notably, Shorin contemplates the implications of brands evolving into synthetic religions, fostering a transition from consumers to adherents. The essay has garnered praise from influential figures, indicating its significance in contemporary discourse on marketing and culture. Shorin advocates for the cultivation of strong ethical cultures to counteract the influence of synthetic brand cultures and emphasizes the importance of supporting brands aligned with inclusive and beneficial strategies. ""Life After Lifestyle"" offers a thought-provoking perspective on the intersection of commerce, culture, and human values in the digital age.",192,./thumbnail/life-after-lifestyle.jpg,https://subpixel.space/entries/life-after-lifestyle/,2022
0,Decentralization enables permissionless innovation,Gordon Brander,"Gordon Brander, a systems thinker and software engineer, explores the principles of designing resilient systems in the face of potential catastrophic events, such as nuclear disasters. Drawing from nature's strategies for survival, Brander emphasizes the importance of decentralization, redundancy, diversity, and adaptability in creating robust systems. He contrasts nature's K-selected approach, which prioritizes long-term survival through resource conservation and diversification, with human systems' tendency towards centralization and standardization. Brander highlights the LOCKSS (Lots Of Copies Keep Stuff Safe) principle as a key strategy for digital preservation, ensuring the survival of information in the face of catastrophic events. By adopting nature's principles of resilience, Brander argues that human systems can optimize for change and ensure survival across diverse environmental conditions. With a background in philosophy, mathematics, and software engineering, Brander brings a unique perspective to the design of resilient systems, offering valuable insights for navigating an uncertain future. His article serves as a thought-provoking exploration of how nature's time-tested strategies can inform the development of resilient systems in the modern world.",169,./thumbnail/decentralization-permissionless.jpg,https://subconscious.substack.com/p/decentralization-enables-permissionless,2022
0,Inventing on Principle,Bret Victor,"Bret Victor, a renowned user interface designer and computer scientist, presents a thought-provoking perspective on living a principled life dedicated to a cause. Drawing from his own guiding principle that creators need an immediate connection to their creations, Bret emphasizes the importance of finding a specific insight that drives one's work and life. He highlights influential figures like Larry Tesler, Alan Kay, Richard Stallman, and Elizabeth Cady Stanton, who fought for their principles against mainstream opposition. Bret encourages readers to discover their own guiding principle through diverse experiences and self-reflection, acknowledging that it may take time to crystallize. He urges readers to choose a life guided by their vision for a better world, rather than accepting default choices. By finding and fighting for a cause based on a personal principle, one can live a purposeful and impactful life. Bret Victor, known for his innovative work at Apple, Dynamicland, and his own research lab, challenges readers to consider a path of ""inventing on principle"" as a meaningful alternative to traditional career paths.",170,./thumbnail/bv-inventing.jpg,https://youtu.be/PUv66718DII?si=BuxLVjhDC42NqUTO,2012
0,Scratch Cyborgs: The Hip-Hop DJ as Technology,André Sirois,"Explores the symbiotic relationship between hip-hop DJ techniques and the development of DJ mixers, highlighting the often-overlooked influence of DJs on technological innovation. Through a series of case studies spanning from 1970 to 2000, the author demonstrates how the unique performance techniques of hip-hop, scratch, and turntablist DJs have driven the evolution of DJ mixer technology far beyond the mixing and beat-matching techniques of other electronic music genres. Drawing on interviews with renowned DJs and technology manufacturers, the book uncovers the stories behind iconic DJ technologies and challenges the notion of individual genius in invention. The author introduces the concept of ""technocultural synergism"" to explain the complex interplay between culture and industry, particularly in the context of intellectual property rights. The book also addresses the impact of digital technology on the democratization of DJ culture and its effects on the recorded music market. With a keen eye for the nuances of cultural influence and technological change, the author presents a compelling argument for recognizing hip-hop DJs as key contributors to the research, development, and branding of DJ products, ultimately reshaping our understanding of innovation in the world of DJ technology.",189,./thumbnail/dj-tech.jpg,https://thereader.mitpress.mit.edu/scratch-cyborgs-the-hip-hop-dj-as-technology/,2022
0,You and Your Research,Richard Hamming,"Timeless lecture by renowned mathematician and computer scientist Dr. Richard W. Hamming, the author shares invaluable insights and wisdom gleaned from his extensive study of the lives and careers of great scientists and engineers. Drawing from his own rich experiences and collaborations, Hamming distills key lessons and principles that can help individuals excel in their chosen fields, with a particular focus on research and complex problem-solving. Through a series of captivating anecdotes and personal reflections, Hamming illuminates the thought processes, reasoning, and decision-making strategies employed by some of the most brilliant minds of the twentieth century as they tackled groundbreaking challenges in science and engineering. This lecture, which formed the basis for Hamming's capstone course ""The Art of Doing Science and Engineering: Learning to Learn"" at the Naval Postgraduate School, emphasizes the importance of cultivating a ""style of thinking"" that enhances one's ability to navigate the complexities of research and innovation. With a career spanning over four decades, including significant contributions to computer science and telecommunications, Hamming's unique perspective and profound insights continue to inspire and guide generations of scientists, engineers, and problem-solvers across various domains.",185,./thumbnail/hamming-research.jpg,https://youtu.be/a1zDuOPkMSw?si=sFYKQXG_KqLGkJQc,1995
0,"""How Do People Get New Ideas?""",Isaac Asimov,"Renowned science fiction writer and biochemistry professor Isaac Asimov explores the nature of creativity and the conditions that foster the generation of new ideas. Drawing upon historical examples such as the simultaneous development of the theory of evolution by Charles Darwin and Alfred Wallace, Asimov identifies key factors that contribute to creative breakthroughs, including a solid background in the field, the ability to make unconventional connections, and the willingness to challenge established ideas. He emphasizes the importance of isolation, informality, and a permissive atmosphere in facilitating creative thinking, while also highlighting the potential benefits of group interactions in exposing individuals to diverse knowledge and perspectives. Asimov, a prolific author of nearly 500 books spanning science fiction, popular science, history, and other genres, brings his unique insights as a writer and scientist to bear on the subject of creativity. Born in Russia and raised in New York City, Asimov's fascination with science and technology, combined with his boundless imagination, led him to become one of the most influential science fiction writers of the 20th century. His essay offers valuable guidance for fostering innovation in any field, reflecting his lifelong passion for exploring the frontiers of human knowledge and creativity.",197,./thumbnail/asimov-creativity.jpg,https://www.technologyreview.com/2014/10/20/169899/isaac-asimov-asks-how-do-people-get-new-ideas/,1959
0,"""Computers: Bicycles for the Mind""",Steve Jobs,"Journalists Ted Koppel, Bettina Gregory, and Ken Kashiwahara explore the growing relevance of computers in everyday life and their potential impact on our future. The piece features an insightful interview with visionary Apple Computer Chairman Steve Jobs, who shares his thoughts on the transformative power of computing as a tool for human empowerment and creativity. Jobs, co-founder of Apple and a pioneering figure in the personal computer revolution, emphasizes the role of computers in augmenting human intelligence and enabling individuals to achieve more than ever before. The segment also includes commentary from writer David Burnham, offering additional perspectives on the societal implications of widespread computer adoption. With a keen eye for the future, Jobs and the journalists shed light on the early days of the digital age, when personal computers were just beginning to reshape the way we live, work, and communicate. This news story serves as a compelling time capsule, capturing a pivotal moment in the history of technology and offering a glimpse into the mind of one of the most influential innovators of our time.",176,./thumbnail/jobs-nightline.jpg,https://youtu.be/3H-Y-D3-j-M?si=Kdn6WxDACPC1_PXt,1981
0,Xerces Blue Butterfly,,"The Xerces Blue, a small, iridescent butterfly once endemic to the coastal sand dunes of the San Francisco Peninsula, serves as a poignant reminder of the fragility of species in the face of human impact. First described in 1852, the butterfly was known for its striking blue upper wing surfaces in males and pale spots below, as well as its extensive variation in wing patterns. The Xerces Blue favored stabilized, sandy habitats where its low-growing larval host plant thrived. However, rapid urban development in the early 20th century led to the destruction of its habitat, ultimately resulting in the butterfly's extinction by the 1940s. The loss of the Xerces Blue became a catalyst for the conservation of insects and their habitats, inspiring the formation of the Xerces Society for Invertebrate Conservation in 1971. Today, specimens of this extinct butterfly are held by only a few institutions. The story of the Xerces Blue underscores the importance of preserving biodiversity and serves as a cautionary tale of the irreversible consequences of human actions on the natural world.",174,./thumbnail/xerces.jpg,https://www.floridamuseum.ufl.edu/100-years/object/xerces-blue/,1940
0,Media for Thinking the Unthinkable,Bret Victor,"Renowned UI expert Bret Victor explores how the invention of new media types throughout history has enabled humans to think in groundbreaking ways. He highlights the transformative power of the written word, which made thought visible and allowed for the expression of complex concepts. Victor also emphasizes the impact of mathematical notation, which revolutionized how people perceive and understand mathematics. Drawing inspiration from Richard Hamming's quote on the possibility of unthinkable thoughts, Victor delves into the potential of interactive media to unlock new realms of understanding. By representing systems, such as electrical circuits, in an interactive manner, users can gain deeper insights into their behavior, uncovering aspects that remain hidden in traditional media. With a background in electrical engineering and computer science, Victor has worked at Apple, Alligator Pie, and Khan Academy, focusing on the intersection of technology and education. His visionary work challenges us to consider how the design of new media types can expand the boundaries of human thought and perception, opening doors to previously unimaginable ideas and insights.",170,./thumbnail/unthinkable-bret.jpg,https://youtu.be/oUaOucZRlmE?si=YC-qoCCbxZ0uWtpF,2013
0,Places Journal,,"Places Journal is a leading public scholarship platform dedicated to exploring the future of architecture, landscape, and urbanism in the context of pressing global challenges. Founded in 1983 at MIT and Berkeley and online since 2009, Places brings together writers, designers, and artists to address critical issues such as environmental health, social inequity, climate change, resource scarcity, human migration, technological innovation, and the erosion of public space. Through thought-provoking articles that combine the rigor of academic scholarship with the accessibility of journalism, Places advocates for the central role of ambitious design research and practice in tackling these complex problems. By harnessing the power of public scholarship, Places aims to promote equitable cities, resilient landscapes, and innovative solutions to the built environment's most urgent challenges. With strong ties to leading design faculties worldwide, Places serves as a vital bridge between academia, the profession, and the public, fostering meaningful dialogue and inspiring transformative action. As an essential resource for anyone committed to shaping a more sustainable and just future, Places Journal continues to push the boundaries of architectural discourse and champion the power of design to effect positive change.",186,./thumbnail/places-journal.jpg,https://placesjournal.org/,
0,A Big Little Idea Called Legibility,Venkatesh Rao,"Exploration of the concept of states and large organizations imposing ""order"" on pre-existing chaotic systems in an attempt to improve legibility, drawing from James C. Scott's book ""Seeing Like a State: How Certain Schemes to Improve the Human Condition Have Failed."" Rao illustrates this idea using the example of early modern Germany's approach to forestry, where the state, primarily interested in maximizing tax revenues, transformed diverse and unruly forests into orderly stands of high-yielding varieties. This ""scientific"" forestry, born out of the state's inability to comprehend the complexities of traditional forests, led to inevitable catastrophes akin to the problems of monoculture. Rao's post highlights the limitations of statist mental models and the potential unintended consequences of attempting to impose order on complex systems. Venkatesh Rao, a writer, researcher, and consultant, delves into the intersection of technology, culture, and economics on his blog ribbonfarm.com. With a background in computer science and engineering, Rao brings a unique perspective to the analysis of social and organizational dynamics, offering thought-provoking insights into the challenges of navigating an increasingly complex world.",175,./thumbnail/legibility.jpg,https://www.ribbonfarm.com/2010/07/26/a-big-little-idea-called-legibility/,2010
0,"Scenius, or Communal Genius",Kevin Kelly,"Kevin Kelly, co-founder of Wired magazine and renowned author, explores the concept of ""scenius"" - the collective genius that emerges from a thriving creative scene. Drawing on examples from art, literature, science, and technology, Kelly illustrates how scenius is nurtured by mutual appreciation, rapid exchange of ideas, network effects of success, and local tolerance for novelty. He highlights the importance of generic, flexible spaces like Camp 4 in Yosemite, which became a breeding ground for innovation in rock climbing techniques and gear. Kelly argues that while scenius cannot be intentionally created, it can be protected and encouraged by resisting the urge to formalize, constrain, or relocate it. With a background in biology, anthropology, and photography, Kevin Kelly has been a pioneering thinker in the fields of technology and culture for over three decades. As the founding executive editor of Wired magazine and author of books such as ""Out of Control"" and ""The Inevitable,"" Kelly has shaped our understanding of the digital age and its transformative potential. His insights on scenius offer valuable lessons for fostering creativity and innovation in any field.",180,./thumbnail/scenius.jpg,https://kk.org/thetechnium/scenius-or-comm/,2008
0,The Teacher Was the Sea,Michael Kaye,"""The Teacher Was The Sea"" by Michael S. Kaye is a captivating retrospective of the author's involvement with Pacific High School, an experimental educational institution that operated in the 1960s. Founded by disgruntled parents and teachers seeking an alternative to traditional schooling, Pacific High School emphasized non-hierarchical, student-empowered education. Kaye recounts the school's tumultuous early years, marked by frequent relocations, financial struggles, and a constantly evolving curriculum that included field courses, workshops, and hands-on projects led by visiting artists and experts. As the school settled on a 40-acre parcel in the Santa Cruz Mountains, it transformed into a live-in community where students and faculty shared responsibilities and decision-making through a democratic process. Kaye reflects on the challenges and successes of this radical educational approach, which aimed to restore experience itself to the center of learning. With its intimate portrayal of a unique educational experiment, ""The Teacher Was The Sea"" offers valuable insights into the complexities of fostering personal agency, curiosity, and community in an unconventional learning environment. Kaye's first-hand account serves as a thought-provoking exploration of the limits and possibilities of alternative education.",182,./thumbnail/teacher-sea.jpg,https://red-legacy.blogspot.com/2009/12/teacher-was-sea-pacific-high-school.html,2009
